DATE,M2SL
1959-01-01,287.8333333333333333
1959-04-01,292.1333333333333333
1959-07-01,296.1000000000000000
1959-10-01,297.1333333333333333
1960-01-01,298.6333333333333333
1960-04-01,301.1000000000000000
1960-07-01,306.4666666666666667
1960-10-01,310.9333333333333333
1961-01-01,316.3000000000000000
1961-04-01,322.1333333333333333
1961-07-01,327.5666666666666667
1961-10-01,333.3333333333333333
1962-01-01,340.2333333333333333
1962-04-01,347.4333333333333333
1962-07-01,352.8333333333333333
1962-10-01,359.9000000000000000
1963-01-01,367.9333333333333333
1963-04-01,375.9333333333333333
1963-07-01,383.5666666666666667
1963-10-01,391.0000000000000000
1964-01-01,397.5333333333333333
1964-04-01,404.3333333333333333
1964-07-01,413.4666666666666667
1964-10-01,421.9333333333333333
1965-01-01,430.3666666666666667
1965-04-01,437.5333333333333333
1965-07-01,446.0666666666666667
1965-10-01,455.8333333333333333
1966-01-01,464.6000000000000000
1966-04-01,470.2000000000000000
1966-07-01,472.9666666666666667
1966-10-01,477.7333333333333333
1967-01-01,485.4666666666666667
1967-04-01,497.1000000000000000
1967-07-01,510.6000000000000000
1967-10-01,521.4000000000000000
1968-01-01,530.3333333333333333
1968-04-01,539.0666666666666667
1968-07-01,549.5333333333333333
1968-10-01,562.2666666666666667
1969-01-01,571.8666666666666667
1969-04-01,576.9000000000000000
1969-07-01,580.5666666666666667
1969-10-01,585.5666666666666667
1970-01-01,587.7333333333333333
1970-04-01,591.7000000000000000
1970-07-01,605.0666666666666667
1970-10-01,621.3333333333333333
1971-01-01,641.2666666666666667
1971-04-01,666.0333333333333333
1971-07-01,685.8666666666666667
1971-10-01,704.4333333333333333
1972-01-01,725.6333333333333333
1972-04-01,743.8000000000000000
1972-07-01,768.8333333333333333
1972-10-01,794.3666666666666667
1973-01-01,813.2333333333333333
1973-04-01,826.6000000000000000
1973-07-01,838.2000000000000000
1973-10-01,849.0000000000000000
1974-01-01,864.6666666666666667
1974-04-01,875.1000000000000000
1974-07-01,884.4666666666666667
1974-10-01,898.0000000000000000
1975-01-01,915.1333333333333333
1975-04-01,948.6666666666666667
1975-07-01,983.2333333333333333
1975-10-01,1006.9666666666666667
1976-01-01,1038.9666666666666667
1976-04-01,1070.1666666666666667
1976-07-01,1098.6000000000000000
1976-10-01,1138.4000000000000000
1977-01-01,1177.1000000000000000
1977-04-01,1208.8000000000000000
1977-07-01,1236.6333333333333333
1977-10-01,1262.2333333333333333
1978-01-01,1285.8000000000000000
1978-04-01,1309.8000000000000000
1978-07-01,1334.2000000000000000
1978-10-01,1359.1333333333333333
1979-01-01,1379.0666666666666667
1979-04-01,1411.7666666666666667
1979-07-01,1445.1666666666666667
1979-10-01,1466.6666666666666667
1980-01-01,1492.3666666666666667
1980-04-01,1514.5666666666666667
1980-07-01,1560.3333333333333333
1980-10-01,1593.4666666666666667
1981-01-01,1620.7333333333333333
1981-04-01,1664.5666666666666667
1981-07-01,1694.0666666666666667
1981-10-01,1737.8000000000000000
1982-01-01,1777.1333333333333333
1982-04-01,1815.1000000000000000
1982-07-01,1845.0333333333333333
1982-10-01,1886.4333333333333333
1983-01-01,1990.4666666666666667
1983-04-01,2041.7333333333333333
1983-07-01,2074.0000000000000000
1983-10-01,2111.6666666666666667
1984-01-01,2157.2000000000000000
1984-04-01,2203.6333333333333333
1984-07-01,2232.7666666666666667
1984-10-01,2282.2333333333333333
1985-01-01,2350.9000000000000000
1985-04-01,2392.5000000000000000
1985-07-01,2443.3000000000000000
1985-10-01,2479.3000000000000000
1986-01-01,2516.0333333333333333
1986-04-01,2582.5333333333333333
1986-07-01,2646.9666666666666667
1986-10-01,2705.5666666666666667
1987-01-01,2748.3666666666666667
1987-04-01,2771.7333333333333333
1987-07-01,2788.9000000000000000
1987-10-01,2820.0333333333333333
1988-01-01,2869.5000000000000000
1988-04-01,2925.0333333333333333
1988-07-01,2952.0333333333333333
1988-10-01,2977.9000000000000000
1989-01-01,2994.5333333333333333
1989-04-01,3015.1666666666666667
1989-07-01,3073.1000000000000000
1989-10-01,3133.3000000000000000
1990-01-01,3178.7000000000000000
1990-04-01,3205.3000000000000000
1990-07-01,3240.3666666666666667
1990-10-01,3264.5666666666666667
1991-01-01,3304.7000000000000000
1991-04-01,3342.4333333333333333
1991-07-01,3355.3333333333333333
1991-10-01,3365.9333333333333333
1992-01-01,3395.0333333333333333
1992-04-01,3397.2333333333333333
1992-07-01,3401.0000000000000000
1992-10-01,3425.0000000000000000
1993-01-01,3415.1000000000000000
1993-04-01,3430.2000000000000000
1993-07-01,3446.6333333333333333
1993-10-01,3467.1000000000000000
1994-01-01,3476.9000000000000000
1994-04-01,3483.8666666666666667
1994-07-01,3486.6666666666666667
1994-10-01,3485.9666666666666667
1995-01-01,3491.1333333333333333
1995-04-01,3524.1000000000000000
1995-07-01,3586.1666666666666667
1995-10-01,3620.9333333333333333
1996-01-01,3665.5333333333333333
1996-04-01,3709.9333333333333333
1996-07-01,3744.8333333333333333
1996-10-01,3795.5000000000000000
1997-01-01,3847.3666666666666667
1997-04-01,3890.7333333333333333
1997-07-01,3951.4666666666666667
1997-10-01,4013.3333333333333333
1998-01-01,4086.4666666666666667
1998-04-01,4162.9000000000000000
1998-07-01,4233.3666666666666667
1998-10-01,4343.1000000000000000
1999-01-01,4420.0000000000000000
1999-04-01,4484.4000000000000000
1999-07-01,4551.3000000000000000
1999-10-01,4613.3333333333333333
2000-01-01,4685.2666666666666667
2000-04-01,4763.9333333333333333
2000-07-01,4820.0333333333333333
2000-10-01,4891.5000000000000000
2001-01-01,5020.6000000000000000
2001-04-01,5147.4666666666666667
2001-07-01,5263.0000000000000000
2001-10-01,5383.9000000000000000
2002-01-01,5477.5666666666666667
2002-04-01,5521.1333333333333333
2002-07-01,5625.5666666666666667
2002-10-01,5741.0000000000000000
2003-01-01,5835.5666666666666667
2003-04-01,5951.3666666666666667
2003-07-01,6072.1000000000000000
2003-10-01,6066.6666666666666667
2004-01-01,6113.3000000000000000
2004-04-01,6243.2666666666666667
2004-07-01,6313.4000000000000000
2004-10-01,6397.1333333333333333
2005-01-01,6433.0666666666666667
2005-04-01,6478.3333333333333333
2005-07-01,6570.6333333333333333
2005-10-01,6658.5000000000000000
2006-01-01,6745.2666666666666667
2006-04-01,6817.3000000000000000
2006-07-01,6915.8666666666666667
2006-10-01,7031.1000000000000000
2007-01-01,7131.3333333333333333
2007-04-01,7251.7666666666666667
2007-07-01,7365.7666666666666667
2007-10-01,7443.5333333333333333
2008-01-01,7584.1000000000000000
2008-04-01,7713.1000000000000000
2008-07-01,7808.3666666666666667
2008-10-01,8057.7333333333333333
2009-01-01,8315.3666666666666667
2009-04-01,8414.7000000000000000
2009-07-01,8444.7666666666666667
2009-10-01,8489.3000000000000000
2010-01-01,8490.0000000000000000
2010-04-01,8578.0333333333333333
2010-07-01,8662.6666666666666667
2010-10-01,8773.7333333333333333
2011-01-01,8884.5000000000000000
2011-04-01,9077.1333333333333333
2011-07-01,9450.8333333333333333
2011-10-01,9611.6000000000000000
2012-01-01,9783.2000000000000000
2012-04-01,9937.4333333333333333
2012-07-01,10124.6333333333333333
2012-10-01,10354.8666666666666667
2013-01-01,10514.1666666666666667
2013-04-01,10628.6666666666666667
2013-07-01,10777.4000000000000000
2013-10-01,10988.7666666666666667
2014-01-01,11155.9000000000000000
2014-04-01,11317.8666666666666667
2014-07-01,11462.8666666666666667
2014-10-01,11618.5666666666666667
2015-01-01,11837.1333333333333333
2015-04-01,11962.8333333333333333
2015-07-01,12104.6666666666666667
2015-10-01,12275.7666666666666667
2016-01-01,12547.7666666666666667
