DATE,BAA10YM
1953-04-01,0.76666666666666666667
1953-07-01,0.94666666666666666667
1953-10-01,1.12666666666666666667
1954-01-01,1.17000000000000000000
1954-04-01,1.13000000000000000000
1954-07-01,1.14000000000000000000
1954-10-01,0.98000000000000000000
1955-01-01,0.82000000000000000000
1955-04-01,0.73666666666666666667
1955-07-01,0.61000000000000000000
1955-10-01,0.68666666666666666667
1956-01-01,0.69333333333333333333
1956-04-01,0.64000000000000000000
1956-07-01,0.66000000000000000000
1956-10-01,0.78666666666666666667
1957-01-01,1.06000000000000000000
1957-04-01,0.90333333333333333333
1957-07-01,0.90000000000000000000
1957-10-01,1.4033333333333333
1958-01-01,1.6833333333333333
1958-04-01,1.6900000000000000
1958-07-01,1.19000000000000000000
1958-10-01,1.08000000000000000000
1959-01-01,0.88000000000000000000
1959-04-01,0.69666666666666666667
1959-07-01,0.61333333333333333333
1959-10-01,0.69000000000000000000
1960-01-01,0.82333333333333333333
1960-04-01,0.98666666666666666667
1960-07-01,1.27000000000000000000
1960-10-01,1.21000000000000000000
1961-01-01,1.27666666666666666667
1961-04-01,1.22666666666666666667
1961-07-01,1.12666666666666666667
1961-10-01,1.14000000000000000000
1962-01-01,1.04666666666666666667
1962-04-01,1.14000000000000000000
1962-07-01,1.05666666666666666667
1962-10-01,1.05333333333333333333
1963-01-01,1.00000000000000000000
1963-04-01,0.89000000000000000000
1963-07-01,0.80333333333333333333
1963-10-01,0.72000000000000000000
1964-01-01,0.65000000000000000000
1964-04-01,0.65000000000000000000
1964-07-01,0.63000000000000000000
1964-10-01,0.63666666666666666667
1965-01-01,0.58333333333333333333
1965-04-01,0.61333333333333333333
1965-07-01,0.64333333333333333333
1965-10-01,0.49333333333333333333
1966-01-01,0.39666666666666666667
1966-04-01,0.71000000000000000000
1966-07-01,0.72666666666666666667
1966-10-01,1.13333333333333333333
1967-01-01,1.29666666666666666667
1967-04-01,1.16000000000000000000
1967-07-01,1.08333333333333333333
1967-10-01,1.08000000000000000000
1968-01-01,1.22000000000000000000
1968-04-01,1.28000000000000000000
1968-07-01,1.4033333333333333
1968-10-01,1.25666666666666666667
1969-01-01,1.20000000000000000000
1969-04-01,1.23333333333333333333
1969-07-01,1.06000000000000000000
1969-10-01,1.07666666666666666667
1970-01-01,1.3900000000000000
1970-04-01,1.26333333333333333333
1970-07-01,1.9500000000000000
1970-10-01,2.4233333333333333
1971-01-01,2.5133333333333333
1971-04-01,2.3600000000000000
1971-07-01,2.2200000000000000
1971-10-01,2.5233333333333333
1972-01-01,2.2000000000000000
1972-04-01,2.0800000000000000
1972-07-01,1.8800000000000000
1972-10-01,1.6200000000000000
1973-01-01,1.3633333333333333
1973-04-01,1.28666666666666666667
1973-07-01,1.26000000000000000000
1973-10-01,1.6833333333333333
1974-01-01,1.4900000000000000
1974-04-01,1.5200000000000000
1974-07-01,1.8466666666666667
1974-10-01,2.9000000000000000
1975-01-01,3.1066666666666667
1975-04-01,2.5800000000000000
1975-07-01,2.2866666666666667
1975-10-01,2.5166666666666667
1976-01-01,2.5033333333333333
1976-04-01,2.1233333333333333
1976-07-01,1.8900000000000000
1976-10-01,2.0233333333333333
1977-01-01,1.7533333333333333
1977-04-01,1.6266666666666667
1977-07-01,1.4733333333333333
1977-10-01,1.3466666666666667
1978-01-01,1.18666666666666666667
1978-04-01,1.15000000000000000000
1978-07-01,1.01000000000000000000
1978-10-01,0.96666666666666666667
1979-01-01,1.05000000000000000000
1979-04-01,1.28000000000000000000
1979-07-01,1.29000000000000000000
1979-10-01,1.3700000000000000
1980-01-01,1.4933333333333333
1980-04-01,2.8800000000000000
1980-07-01,2.2133333333333333
1980-10-01,2.2466666666666667
1981-01-01,2.2866666666666667
1981-04-01,2.0200000000000000
1981-07-01,1.6300000000000000
1981-10-01,2.5966666666666667
1982-01-01,2.7400000000000000
1982-04-01,2.8500000000000000
1982-07-01,3.1333333333333333
1982-10-01,3.7233333333333333
1983-01-01,3.2700000000000000
1983-04-01,2.7066666666666667
1983-07-01,1.9000000000000000
1983-10-01,1.9200000000000000
1984-01-01,1.8000000000000000
1984-04-01,1.5000000000000000
1984-07-01,1.8433333333333333
1984-10-01,1.8633333333333333
1985-01-01,1.8100000000000000
1985-04-01,2.2066666666666667
1985-07-01,2.1333333333333333
1985-10-01,2.2166666666666667
1986-01-01,2.4600000000000000
1986-04-01,2.6700000000000000
1986-07-01,2.8733333333333333
1986-10-01,2.8300000000000000
1987-01-01,2.4666666666666667
1987-04-01,2.0133333333333333
1987-07-01,2.0300000000000000
1987-10-01,2.2566666666666667
1988-01-01,2.3366666666666667
1988-04-01,2.0700000000000000
1988-07-01,1.9733333333333333
1988-10-01,1.5566666666666667
1989-01-01,1.4366666666666667
1989-04-01,1.5933333333333333
1989-07-01,1.7800000000000000
1989-10-01,1.9066666666666667
1990-01-01,1.6733333333333333
1990-04-01,1.6333333333333333
1990-07-01,1.7133333333333333
1990-10-01,2.2000000000000000
1991-01-01,2.1866666666666667
1991-04-01,1.7900000000000000
1991-07-01,1.7433333333333333
1991-10-01,2.0533333333333333
1992-01-01,1.9000000000000000
1992-04-01,1.7533333333333333
1992-07-01,2.0866666666666667
1992-10-01,2.1266666666666667
1993-01-01,2.1233333333333333
1993-04-01,2.1500000000000000
1993-07-01,2.0066666666666667
1993-10-01,1.9466666666666667
1994-01-01,1.7800000000000000
1994-04-01,1.5133333333333333
1994-07-01,1.5066666666666667
1994-10-01,1.3700000000000000
1995-01-01,1.3933333333333333
1995-04-01,1.6133333333333333
