DATE,PCEPI
1959-01-01,16.0556666666666667
1959-04-01,16.1213333333333333
1959-07-01,16.2186666666666667
1959-10-01,16.3070000000000000
1960-01-01,16.3283333333333333
1960-04-01,16.4136666666666667
1960-07-01,16.4750000000000000
1960-10-01,16.5480000000000000
1961-01-01,16.5786666666666667
1961-04-01,16.5766666666666667
1961-07-01,16.6366666666666667
1961-10-01,16.6543333333333333
1962-01-01,16.7263333333333333
1962-04-01,16.7856666666666667
1962-07-01,16.8306666666666667
1962-10-01,16.8823333333333333
1963-01-01,16.9306666666666667
1963-04-01,16.9573333333333333
1963-07-01,17.0390000000000000
1963-10-01,17.1023333333333333
1964-01-01,17.1830000000000000
1964-04-01,17.2203333333333333
1964-07-01,17.2770000000000000
1964-10-01,17.3343333333333333
1965-01-01,17.3903333333333333
1965-04-01,17.4780000000000000
1965-07-01,17.5433333333333333
1965-10-01,17.5966666666666667
1966-01-01,17.7330000000000000
1966-04-01,17.8776666666666667
1966-07-01,18.0140000000000000
1966-10-01,18.1533333333333333
1967-01-01,18.2056666666666667
1967-04-01,18.2923333333333333
1967-07-01,18.4623333333333333
1967-10-01,18.6210000000000000
1968-01-01,18.8193333333333333
1968-04-01,19.0116666666666667
1968-07-01,19.2083333333333333
1968-10-01,19.4213333333333333
1969-01-01,19.6093333333333333
1969-04-01,19.8593333333333333
1969-07-01,20.1020000000000000
1969-10-01,20.3343333333333333
1970-01-01,20.5700000000000000
1970-04-01,20.7980000000000000
1970-07-01,21.0000000000000000
1970-10-01,21.2723333333333333
1971-01-01,21.4736666666666667
1971-04-01,21.7186666666666667
1971-07-01,21.9320000000000000
1971-10-01,22.0680000000000000
1972-01-01,22.3006666666666667
1972-04-01,22.4296666666666667
1972-07-01,22.6266666666666667
1972-10-01,22.8106666666666667
1973-01-01,23.0860000000000000
1973-04-01,23.5296666666666667
1973-07-01,23.9580000000000000
1973-10-01,24.4486666666666667
1974-01-01,25.1756666666666667
1974-04-01,25.8886666666666667
1974-07-01,26.5873333333333333
1974-10-01,27.2630000000000000
1975-01-01,27.7763333333333333
1975-04-01,28.1166666666666667
1975-07-01,28.6433333333333333
1975-10-01,29.1236666666666667
1976-01-01,29.4443333333333333
1976-04-01,29.6906666666666667
1976-07-01,30.1416666666666667
1976-10-01,30.6180000000000000
1977-01-01,31.1706666666666667
1977-04-01,31.7036666666666667
1977-07-01,32.1806666666666667
1977-10-01,32.6383333333333333
1978-01-01,33.1736666666666667
1978-04-01,33.8546666666666667
1978-07-01,34.4496666666666667
1978-10-01,35.1003333333333333
1979-01-01,35.7616666666666667
1979-04-01,36.7383333333333333
1979-07-01,37.6503333333333333
1979-10-01,38.5613333333333333
1980-01-01,39.7193333333333333
1980-04-01,40.6910000000000000
1980-07-01,41.6426666666666667
1980-10-01,42.6733333333333333
1981-01-01,43.7803333333333333
1981-04-01,44.5146666666666667
1981-07-01,45.2476666666666667
1981-10-01,45.9413333333333333
1982-01-01,46.5246666666666667
1982-04-01,46.9726666666666667
1982-07-01,47.7146666666666667
1982-10-01,48.2413333333333333
1983-01-01,48.6396666666666667
1983-04-01,49.0846666666666667
1983-07-01,49.7296666666666667
1983-10-01,50.0580000000000000
1984-01-01,50.5990000000000000
1984-04-01,51.0890000000000000
1984-07-01,51.4826666666666667
1984-10-01,51.8006666666666667
1985-01-01,52.4116666666666667
1985-04-01,52.8370000000000000
1985-07-01,53.2513333333333333
1985-10-01,53.6226666666666667
1986-01-01,54.0026666666666667
1986-04-01,53.9456666666666667
1986-07-01,54.2303333333333333
1986-10-01,54.5583333333333333
1987-01-01,55.0720000000000000
1987-04-01,55.6033333333333333
1987-07-01,56.1293333333333333
1987-10-01,56.6146666666666667
1988-01-01,57.0620000000000000
1988-04-01,57.6923333333333333
1988-07-01,58.4030000000000000
1988-10-01,58.9936666666666667
1989-01-01,59.6710000000000000
1989-04-01,60.4750000000000000
1989-07-01,60.8316666666666667
1989-10-01,61.3103333333333333
1990-01-01,62.1990000000000000
1990-04-01,62.7633333333333333
1990-07-01,63.5610000000000000
1990-10-01,64.4016666666666667
1991-01-01,64.7403333333333333
1991-04-01,65.0940000000000000
1991-07-01,65.5360000000000000
1991-10-01,66.0116666666666667
1992-01-01,66.4256666666666667
1992-04-01,66.8673333333333333
1992-07-01,67.2936666666666667
1992-10-01,67.7630000000000000
1993-01-01,68.1666666666666667
1993-04-01,68.6243333333333333
1993-07-01,68.9226666666666667
1993-10-01,69.3196666666666667
1994-01-01,69.5683333333333333
1994-04-01,69.9563333333333333
1994-07-01,70.4586666666666667
1994-10-01,70.7893333333333333
1995-01-01,71.1356666666666667
1995-04-01,71.5496666666666667
1995-07-01,71.8416666666666667
1995-10-01,72.1576666666666667
1996-01-01,72.5590000000000000
1996-04-01,73.0446666666666667
1996-07-01,73.3560000000000000
1996-10-01,73.8556666666666667
1997-01-01,74.1820000000000000
1997-04-01,74.3676666666666667
1997-07-01,74.5640000000000000
1997-10-01,74.7976666666666667
1998-01-01,74.8036666666666667
1998-04-01,74.9386666666666667
1998-07-01,75.1706666666666667
1998-10-01,75.3686666666666667
1999-01-01,75.5173333333333333
1999-04-01,75.9466666666666667
1999-07-01,76.3643333333333333
1999-10-01,76.8283333333333333
2000-01-01,77.4523333333333333
2000-04-01,77.8213333333333333
2000-07-01,78.3226666666666667
2000-10-01,78.7656666666666667
2001-01-01,79.3493333333333333
2001-04-01,79.7206666666666667
2001-07-01,79.7610000000000000
2001-10-01,79.7936666666666667
2002-01-01,79.9543333333333333
2002-04-01,80.5473333333333333
