dates,GDPC1,CPIAUCSL,FEDFUNDS,M2,BAA10YM,PCEPILFE,PCEPI,UNRATE
1962-01-01,3502.298,30.1066666666667,2.45666666666667,340.233333333333,1.04666666666667,17.511,16.7263333333333,5.63333333333333
1962-04-01,3533.947,30.22,2.60666666666667,347.433333333333,1.14,17.5783333333333,16.7856666666667,5.53333333333333
1962-07-01,3577.362,30.3066666666667,2.84666666666667,352.833333333333,1.05666666666667,17.6363333333333,16.8306666666667,5.56666666666667
1962-10-01,3589.128,30.38,2.92333333333333,359.9,1.05333333333333,17.6693333333333,16.8823333333333,5.53333333333333
1963-01-01,3628.306,30.4766666666667,2.96666666666667,367.933333333333,1,17.728,16.9306666666667,5.76666666666667
1963-04-01,3669.02,30.5333333333333,2.96333333333333,375.933333333333,0.89,17.7946666666667,16.9573333333333,5.73333333333333
1963-07-01,3749.681,30.72,3.33,383.566666666667,0.803333333333333,17.8633333333333,17.039,5.5
1963-10-01,3774.264,30.8033333333333,3.45333333333333,391,0.72,17.9496666666667,17.1023333333333,5.56666666666667
1964-01-01,3853.835,30.93,3.46333333333333,397.533333333333,0.65,18.0253333333333,17.183,5.46666666666667
1964-04-01,3895.793,30.98,3.49,404.333333333333,0.65,18.0793333333333,17.2203333333333,5.2
1964-07-01,3956.657,31.05,3.45666666666667,413.466666666667,0.63,18.1296666666667,17.277,5
1964-10-01,3968.878,31.1933333333333,3.57666666666667,421.933333333333,0.636666666666667,18.1753333333333,17.3343333333333,4.96666666666667
1965-01-01,4064.915,31.29,3.97666666666667,430.366666666667,0.583333333333333,18.244,17.3903333333333,4.9
1965-04-01,4116.267,31.49,4.08,437.533333333333,0.613333333333333,18.301,17.478,4.66666666666667
1965-07-01,4207.782,31.5833333333333,4.07666666666667,446.066666666667,0.643333333333333,18.3576666666667,17.5433333333333,4.36666666666667
1965-10-01,4304.731,31.75,4.16666666666667,455.833333333333,0.493333333333333,18.4183333333333,17.5966666666667,4.1
1966-01-01,4409.518,32.0466666666667,4.56,464.6,0.396666666666667,18.511,17.733,3.86666666666667
1966-04-01,4424.581,32.3366666666667,4.91333333333333,470.2,0.71,18.661,17.8776666666667,3.83333333333333
1966-07-01,4462.053,32.6166666666667,5.41,472.966666666667,0.726666666666667,18.815,18.014,3.76666666666667
